Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Adria,DFOADM,4,0,0,0,0,User,Adria,Adria,
Agordo,DFOADM,4,0,0,0,0,User,Agordo,Agordo,
Ala-1-ON-1,ILA,2,,0,0,0,User,Ala,Ala-1,
Albignasego,DFOADM,4,0,0,0,0,User,Albignasego,Albignasego,
Arcella,DFOADM,4,0,0,0,0,User,Arcella,Arcella,
Arzignano,DFOADM,4,0,0,0,0,User,Arzignano,Arzignano,
Asiago,DFOADM,4,0,0,0,0,User,Asiago,Asiago,
Asolo,DFOADM,4,0,0,0,0,User,Asolo,Asolo,
BOLZANO,DFOADM,4,0,0,0,0,User,BOLZANO,BOLZANO,
B_Valsugana,TOADM,8,0,0,0,0,User,B_Valsugana,B_Valsugana,
Badia_Polesine,DFOADM,4,0,0,0,0,User,Badia_Polesine,Badia_Polesine,
Bardolino,DFOADM,4,0,0,0,0,User,Bardolino,Bardolino,
Bassanello,DFOADM,4,0,0,0,0,User,Bassanello,Bassanello,
Bassano,TOADM,8,0,0,0,0,User,Bassano,Bassano,
Battaglia_Terme,TOADM,8,0,0,0,0,User,Battaglia Terme,Battaglia_Terme,
Belluno,TOADM,8,0,0,0,0,User,Belluno,Belluno,
Bolzano_BG,TOADM,8,0,0,0,0,User,Bolzano_BG,Bolzano_BG,
Bolzano_Stazione,DFOADM,4,0,0,0,0,User,Bolzano_Stazione,Bolzano_Stazione,
Borghetto_C,TOADM,8,0,0,0,0,User,Borghetto_C,Borghetto_C,
Bovolone,DFOADM,4,0,0,0,0,User,Bovolone,Bovolone,
Bressanone,TOADM,8,0,0,0,0,User,Bressanone,Bressanone,
Brunico,TOADM,8,0,0,0,0,User,Brunico,Brunico,
Brusegana,TOADM,8,0,0,0,0,User,Brusegana,Brusegana,
Burano,TOADM,8,0,0,0,0,User,Burano,Burano,
Bussolengo,DFOADM,4,0,0,0,0,User,Bussolengo,Bussolengo,
Ca_di_David,DFOADM,4,0,0,0,0,User,Ca_di_David,Ca_di_David,
Camin,DFOADM,4,0,0,0,0,User,Camin,Camin,
Campo_di_Marte,TOADM,8,0,0,0,0,User,Campo_di_Marte,Campo_di_Marte,
Camposampiero,DFOADM,4,0,0,0,0,User,Camposampiero,Camposampiero,
Carita,DFOADM,4,0,0,0,0,User,Carita,Carita,
Carpenedo,DFOADM,4,0,0,0,0,User,Carpenedo,Carpenedo,
Castelfranco_V,DFOADM,4,0,0,0,0,User,Castelfranco_V,Castelfranco_V,
Cattane,DFOADM,4,0,0,0,0,User,Cattane,Cattane,
Cavalese,DFOADM,4,0,0,0,0,User,Cavalese,Cavalese,
Cavarzere,DFOADM,4,0,0,0,0,User,Cavarzere,Cavarzere,
Cavazzale,DFOADM,4,0,0,0,0,User,Cavazzale,Cavazzale,
Cerea,DFOADM,4,0,0,0,0,User,Cerea,Cerea,
Cervignano,TOADM,8,0,0,0,0,User,Cervignano,Cervignano,
Chiavris,DFOADM,4,0,0,0,0,User,Chiavris,Chiavris,
Cittadella,DFOADM,4,0,0,0,0,User,Cittadella,Cittadella,
Cividale,DFOADM,4,0,0,0,0,User,Cividale,Cividale,
Cles,DFOADM,4,0,0,0,0,User,Cles,Cles,
Codroipo_B,DFOADM,4,0,0,0,0,User,Codroipo_B,Codroipo_B,
Colognola_Colli,DFOADM,4,0,0,0,0,User,Colognola_Colli,Colognola_Colli,
Conegliano,DFOADM,4,0,0,0,0,User,Conegliano,Conegliano,
Conegliano_Centro,DFOADM,4,0,0,0,0,User,Conegliano_Centro,Conegliano_Centro,
Conselve,DFOADM,4,0,0,0,0,User,Conselve,Conselve,
Contarina,DFOADM,4,0,0,0,0,User,Contarina,Contarina,
Cormons,DFOADM,4,0,0,0,0,User,Cormons,Cormons,
Cortina_d_Ampezzo_2,TOADM,8,0,0,0,0,User,Cortina_d_Ampezzo_2,Cortina_d_Ampezzo_2,
Dolo,TOADM,8,0,0,0,0,User,Dolo,Dolo,
Domegliara,TOADM,8,0,0,0,0,User,Domegliara,Domegliara,
Este-1-ON-1,ILA,2,,0,0,0,User,Este,Este-1,
Este_ROADM,TOADM,8,0,0,0,0,User,Este_ROADM,Este_ROADM,
Favaro_Veneto,TOADM,8,0,0,0,0,User,Favaro_Veneto,Favaro_Veneto,
Feltre_Nord,DFOADM,4,0,0,0,0,User,Feltre_Nord,Feltre_Nord,
Fiera_di_Primiero,DFOADM,4,0,0,0,0,User,Fiera_di_Primiero,Fiera_di_Primiero,
Flaibano,DFOADM,4,0,0,0,0,User,Flaibano,Flaibano,
Gemona,DFOADM,4,0,0,0,0,User,Gemona,Gemona,
Gorizia,TOADM,8,0,0,0,0,User,Gorizia,Gorizia,
ILA_Castelfranco-1-ON-1,ILA,2,,0,0,0,User,ILA_Castelfranco,ILA_Castelfranco-1,
ILA_Dobbiaco-1-ON-1,ILA,2,,0,0,0,User,ILA_Dobbiaco,ILA_Dobbiaco-1,
ILA_Monfalcone_B,ILA,2,,0,0,0,User,ILA_Monfalcone_B,ILA_Monfalcone_B,
ILA_Palmanova_n_2,ILA,2,,0,0,0,User,ILA_Palmanova_n_2,ILA_Palmanova_n_2-1,
ILA_Selva_Gardena-1-ON-1,ILA,2,,0,0,0,User,ILA_Selva_Gardena,ILA_Selva_Gardena-1,
ILA_Vandoies-1-ON-1,ILA,2,,0,0,0,User,ILA_Vandoies,ILA_Vandoies-1,
Isola_della_Scala,DFOADM,4,0,0,0,0,User,Isola_della_Scala,Isola_della_Scala,
Jesolo_Lomb,DFOADM,4,0,0,0,0,User,Jesolo_Lomb,Jesolo_Lomb,
Laives,DFOADM,4,0,0,0,0,User,Laives,Laives,
Lamon,DFOADM,4,0,0,0,0,User,Lamon,Lamon,
Latisana,DFOADM,4,0,0,0,0,User,Latisana,Latisana,
Legnago,TOADM,8,0,0,0,0,User,Legnago,Legnago,
Legnaro,DFOADM,4,0,0,0,0,User,Legnaro,Legnaro,
Lendinara,DFOADM,4,0,0,0,0,User,Lendinara,Lendinara,
Lerino,DFOADM,4,0,0,0,0,User,Lerino,Lerino,
Levico,DFOADM,4,0,0,0,0,User,Levico,Levico,
