Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35
Adria-Rovigo,External,None [Current],No,Yes,Adria,Rovigo,No,DWDM-100GHz,No*,None,None,No,Yes,No,SSMF,26.34,7.00,0.26*,439.1*,1.45*,3,0.5,0.5,SSMF,26.34,6.50,0.26*,439*,1.45*,3.00,0.50,0.50,MNE135,,
Agordo-ILA_Selva_Gardena,External,None [Current],No,Yes,Agordo,ILA_Selva_Gardena,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,SSMF,64,22.00,0.40*,1066.9*,3.52*,3,0.5,0.5,SSMF*,64.00*,22.00*,0.40*,1066.9*,3.52*,3.00*,0.50*,0.50*,3VE139_MNE0331,,
Ala-S_Michele,External,None [Current],No,Yes,Ala,S_Michele,No,DWDM-100GHz,No*,None,None,No,Yes,No,ELEAF*,68.06,17.36,0.41*,263.4*,5.72*,3,0.5,0.5,ELEAF*,68.07,18.15,0.41*,263*,5.72*,3.00,0.50,0.50,MNER04_NE221,,
Albignasego-Bassanello,External,None [Current],No,Yes,Albignasego,Bassanello,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,SSMF,5.7,1.43*,0.12*,95.0*,0.31*,3,0.5,0.5,SSMF*,5.70*,1.43*,0.12*,95.0*,0.31*,3.00*,0.50*,0.50*,MNE0119,,
Albignasego-Padova_New,External,None [Current],No,Yes,Albignasego,Padova_Stanga,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,SSMF,13.2,7.30,0.18*,220.0*,0.73*,3,0.5,0.5,SSMF*,13.20*,7.30*,0.18*,220.0*,0.73*,3.00*,0.50*,0.50*,MNE120_2dB_extra_margin_Cesarin_3ve314,,
Arcella_Padova,External,None [Current],No,Yes,Arcella,Padova,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,SSMF,3.26,1.50,0.09*,54.3*,0.18*,3,0.5,0.5,SSMF*,3.26*,1.50*,0.09*,54.3*,0.18*,3.00*,0.50*,0.50*,MNE117,,
Arcella-Limena,External,None [Current],No,Yes,Arcella,Limena,No,DWDM-100GHz,No*,None,None,No,Yes,No,SSMF,7.68,1.40,0.14*,128.0*,0.42*,3,0.45,0.45,SSMF,7.68,1.68,0.14*,128*,0.42*,3.00,0.50,0.50,3VE212_MNE112,,
Arzignano-Montebello,External,None [Current],No,Yes,Arzignano,Montebello,No,DWDM-100GHz,No*,None,None,No,Yes,No,SSMF,12.8,3.17,0.18*,213.4*,0.70*,3,0.5,0.5,SSMF,12.80,2.65,0.18*,213*,0.70*,3.00,0.50,0.50,MNE156,,
Asolo-Montebelluna,External,None [Current],No,Yes,Asolo,Montebelluna,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,SSMF,14,3.50*,0.19*,233.4*,0.77*,3,0.5,0.5,SSMF*,14.00*,3.50*,0.19*,233.4*,0.77*,3.00*,0.50*,0.50*,3VE235_NE0518_MNEA31,,
B_Valsugana-P_Valsugana,External,None [+] [Current],No,Yes,B_Valsugana,P_Valsugana,No,DWDM-100GHz,No*,None,None,No,Yes,Yes,ELEAF,23.9,6.98,0.24*,92.5*,2.01*,3,0.5,0.5,ELEAF*,23.90*,6.98*,0.24*,92.5*,2.01*,3.00*,0.50*,0.50*,3VE216_MNE701,,
